"Gene","uniprot_id","N_seq","Old_OP_S06_Pre","Old_OP_S11_Pre","Old_OP_S12_Pre","Old_OP_S17_Pre","Old_O_S05_Pre","Old_O_S06_Pre","Old_O_S07_Pre","Old_O_S10_Pre","Old_O_S16_Pre","Old_O_S17_Pre","Old_O_S24_Post","Old_O_S24_Pre","Old_O_S28_Pre","Old_O_S29_Pre","Old_O_S32_Pre","Old_O_S35_Pre","Old_OP_S06_Post","Old_OP_S11_Post","Old_OP_S12_Post","Old_OP_S17_Post","Old_O_S05_Post","Old_O_S06_Post","Old_O_S07_Post","Old_O_S10_Post","Old_O_S16_Post","Old_O_S17_Post","Old_O_S28_Post","Old_O_S29_Post","Old_O_S32_Post","Old_O_S35_Post","Young_YP_S14_Pre","Young_YP_S45_Pre","Young_YP_S56_Pre","Young_Y_S01_Pre","Young_Y_S05_Pre","Young_Y_S07_Pre","Young_Y_S10_Pre","Young_Y_S11_Pre","Young_Y_S16_Pre","Young_Y_S28_Pre","Young_Y_S30_Pre","Young_Y_S31_Pre","Young_Y_S32_Pre","Young_Y_S34_Pre","Young_Y_S35_Pre","Young_Y_S36_Pre","Young_Y_S40_Pre","Young_YP_S14_Post","Young_YP_S45_Post","Young_YP_S56_Post","Young_Y_S01_Post","Young_Y_S05_Post","Young_Y_S07_Post","Young_Y_S10_Post","Young_Y_S11_Post","Young_Y_S16_Post","Young_Y_S28_Post","Young_Y_S30_Post","Young_Y_S31_Post","Young_Y_S32_Post","Young_Y_S34_Post","Young_Y_S35_Post","Young_Y_S36_Post","Young_Y_S40_Post","Contaminant"
"SPR","P35270","9",2043670,2157960,2132390,2549500,1436740,2495440,1415470,4626580,2297790,1768330,1774680,2437830,3734350,3031720,1840370,3028400,2128050,2639430,2079810,2494170,2107500,1660050,3235630,3144610,2345130,2330210,3461810,1917370,1576440,1374420,1580940,2514420,1633810,1334360,2027120,NA,1200700,1828610,2512140,1448470,2270050,3441520,2528950,1255190,3585350,1845900,1989970,2080520,2589920,1682270,1653940,1997990,NA,NA,3736540,1736410,2251770,1871610,1893240,1827250,1586360,1797750,1915160,1559300,"-"
"SPRED2","Q7Z698","1",21870300,14113900,6368570,9432350,16318900,18059500,13291700,13970900,5780940,21252200,9993660,8909760,11183500,12567000,16772100,9776790,9872380,5070820,10807400,27639400,7602030,9580570,10009700,9967830,4857930,9873520,24995600,86412100,8669960,29905300,24253900,2487660,5842080,14548400,NA,5964140,3586470,8619030,5052490,6386400,3787100,19822900,13506000,32836200,5147350,6302630,3809550,5658680,2742490,7017040,4434710,8808060,16101100,13291900,6744070,8886180,9347140,4975450,4900820,6374500,18305800,5485340,33415200,2224630,"-"
"SPRR1A","P35321","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1359660,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-"
"SPRR1B","P22528","4",NA,391912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,965165,NA,NA,NA,NA,NA,NA,NA,NA,NA,192528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22000600,NA,NA,NA,NA,NA,NA,NA,515189,NA,NA,NA,NA,NA,NA,NA,NA,"-"
"SPRR2A","P35326","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,342039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-"
"SPRR2D","P22532","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1935100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-"
"SPRR2E","P22531","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1069570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-"
"SPRR3","Q9UBC9","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56965100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-"
"SPRYD4","Q8WW59","6",735647,1109230,1354960,1732030,756192,1276730,572768,532195,NA,1180570,1819050,1346810,NA,1131490,1158930,1571210,1164230,1288130,1784720,1085350,769694,1199930,714296,981325,710526,1555270,1175320,760385,667526,1001080,981867,NA,1281090,649049,1315720,938598,948948,1977470,841926,754579,761984,NA,880139,NA,623090,570760,1191070,980407,687242,1211380,1245060,1328490,1510510,2080130,NA,1186580,852679,983288,1298350,931578,600091,969610,837220,1043660,"-"
"SPTA1","P02549","35",376722,491750,245550,676507,1238350,1412400,505734,584360,441609,1024810,454668,336510,313503,898018,552101,339137,NA,376440,358586,2687440,432370,482542,399233,985258,357775,633280,509178,2383960,354525,1021970,914374,385035,378900,815167,NA,NA,NA,NA,NA,647575,NA,594217,799812,415340,316746,438235,NA,426376,NA,765023,454464,NA,584369,337965,754043,377256,NA,194174,350247,802349,945011,214719,1183250,NA,"-"
"SPTAN1","Q13813","24",685204,593104,764351,736740,666493,724338,459050,549778,680805,506726,682919,541474,725884,553698,678935,513874,640968,1028880,666669,515403,496234,1219330,658733,760678,734070,508840,865589,444650,695244,652459,454395,736641,939732,888454,NA,NA,NA,NA,638015,822007,704143,658806,462183,NA,837924,714807,428395,815840,792550,930716,1263290,509982,678439,551784,688668,481681,486480,870123,1129520,726244,640886,838814,848951,1244170,"-"
"SPTB","P11277","41",3287900,3288420,1978870,2809630,4453800,4694700,3051130,3398360,2295190,4517460,3039020,2120640,3563600,3902080,3020800,1670620,1428970,2713100,2037190,6340800,2352950,2705030,2298330,3694140,2160160,2376040,3485830,7291430,2485140,3549600,4700650,4930820,3928470,4968440,6675390,2328230,3237740,2691880,3051220,3368640,2774860,3717960,4377210,3022450,3890340,4155540,3350400,3020520,3144050,4058990,3055060,3976560,5288160,5049940,4782920,3651880,2721640,2477570,3506350,3466850,4285780,2822030,4709330,3224280,"-"
"SPTBN1","Q01082","28",1337480,1218120,1083260,1666710,1658760,1552060,1018350,1005940,1622420,1418520,1409010,916203,1614710,1288550,1894320,855820,1473070,2366660,1534210,907185,1255690,2210310,1136230,1409620,1350820,1452680,1800090,1196820,1667050,1695910,1154800,1907090,2219390,1590210,1385990,880717,930977,1174050,1304520,1383240,1323630,1387650,1102820,900108,1823100,1720630,1161670,1767140,1717510,1755660,2523360,1122500,1217900,1275110,1470290,1200330,1138800,1636910,1706370,1448490,1436090,1414540,1969290,2003600,"-"
"SQOR","Q9Y6N5","3",182092,139123,293115,182922,145091,330497,178300,203580,108605,352440,352333,238083,NA,298835,352868,152841,228434,140961,452150,278158,NA,142769,176672,298830,201348,335694,240100,199087,NA,190095,NA,NA,183341,NA,NA,NA,NA,NA,NA,NA,NA,229212,244058,NA,154230,NA,539287,NA,NA,212370,NA,NA,NA,NA,NA,118194,NA,236891,179111,NA,164084,185784,NA,455250,"-"
"SQSTM1","Q13501","4",47147,66649.3,62143.7,66134.2,45461.1,59693.5,49420.6,63698.1,87065.2,95805.3,69546.8,55672.3,78395.4,69281.5,70038,83744.7,50138.4,77631.1,71394.6,56942,69485.3,66998,58638,54656.8,112529,85221,51412,98928.6,95122.7,124647,83895.9,136182,113798,90495.8,NA,56025.7,NA,103392,168083,60001.1,114413,115731,68505.6,88249.3,116549,117739,68581.1,74858.3,105349,161120,81671.1,72218.8,NA,68246.7,84403,73580.1,89001.5,150334,152007,83859.4,100083,70932.1,100537,129318,"-"
"SRI","P30626","3",371746,448485,451814,348054,670720,502479,306093,474367,472616,385320,445946,454122,434632,496535,428445,488767,515278,NA,384222,643715,394173,686503,378104,492248,384659,610737,491633,701066,338556,445336,468328,NA,363597,482907,NA,276367,415040,394248,367412,437739,420144,356412,263984,250225,326828,268707,349236,574135,169612,462783,377489,536810,558270,512446,NA,348130,427123,436780,185425,457731,324947,437634,211338,523227,"-"
"SRL","Q86TD4","19",45717100,40245900,34914100,36445200,40561400,47219000,39044000,39892800,44800200,39018600,35033600,39848900,45315000,42816700,42095400,45284100,30607800,48915100,26803700,33878100,43827100,50964700,53005700,35922400,38631800,44947900,37186000,28114800,50015000,48272100,37297400,53477300,30727500,41474600,82418800,68243400,59623800,50167400,48553100,36520100,45345600,51847300,40688400,49551400,50050100,42841600,49592700,35764900,47908100,30730100,42225900,52257900,68705500,49190800,53289100,42147900,39250400,36735600,36190000,37610400,49836400,39238000,45462200,45018900,"-"
"SRM","P19623","3",NA,1663960,1866750,1296610,1067220,1461190,NA,NA,1582810,1104760,NA,1628800,1044560,1974640,1958510,1915640,2002440,2170940,2009900,NA,NA,2726440,1740760,1487780,NA,1601260,1230110,1889050,1139390,1397890,190200,NA,1668730,2039540,NA,NA,NA,NA,2209050,NA,NA,NA,NA,NA,NA,253321,NA,NA,NA,2871980,NA,NA,NA,NA,NA,NA,NA,NA,1956570,NA,NA,1974600,170370,1823350,"-"
"SRP14","P37108","5",NA,735566,533969,597190,557884,526017,435215,483158,647062,552224,435807,377382,663260,675888,709320,665520,387130,764906,426783,291874,516327,524770,674616,586813,597540,748292,831367,685476,617007,521506,628397,410230,561911,637232,NA,NA,NA,233378,414184,636300,778336,858248,449981,364534,660651,592432,556629,499856,462140,588020,442295,NA,NA,461350,468427,414325,505144,676080,607983,539085,522422,681996,495803,842036,"-"
"SRP9","P49458","3",NA,1034440,303109,NA,2070140,760356,NA,NA,741647,NA,NA,NA,585712,784281,1036180,NA,NA,1221250,NA,NA,NA,NA,NA,NA,NA,922498,NA,991950,1155460,1037210,NA,NA,NA,NA,1190040,791558,709176,951465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1157300,1110070,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-"
"SRPRB","Q9Y5M8","5",246124,293035,256340,415974,448897,375410,256044,291208,232162,276094,348112,208360,273407,295090,402769,252241,349466,355244,318656,264448,377984,378736,304324,261836,287952,309135,256243,271777,262762,353102,136851,NA,369868,251421,NA,322350,356386,350752,370840,362218,301083,156724,347927,NA,283730,383303,285469,297596,257825,345828,299092,329709,582464,898034,NA,260060,NA,336370,235469,218540,364768,325309,328650,338323,"-"
"SRR","Q9GZT4","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,44449.1,NA,NA,NA,NA,NA,NA,18076.8,NA,NA,NA,NA,NA,NA,NA,NA,53305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-"
"SRSF1","Q07955","3",377018,394532,198814,190823,339928,340446,NA,362060,404028,459002,NA,117143,312949,363245,445645,379871,177754,524811,192738,230059,283786,476594,376089,213764,392452,519790,287781,443990,494548,399506,NA,371097,294292,NA,601234,NA,NA,NA,NA,324880,252634,NA,NA,NA,198227,NA,NA,NA,288890,254993,NA,NA,NA,NA,NA,NA,NA,NA,179326,NA,NA,206904,192335,278580,"-"
"SRSF11","Q05519","1",NA,111424,91971.7,NA,NA,79741.9,123085,NA,NA,123348,79708.6,96464.1,105990,84730.2,132924,110295,118145,153348,79242.6,NA,89914,137129,126933,121041,105510,NA,112933,156860,88775,95305,NA,NA,NA,NA,NA,NA,NA,NA,107044,NA,NA,NA,128873,NA,NA,NA,NA,90847.6,NA,108218,NA,NA,NA,NA,NA,NA,NA,111361,116379,82887.5,NA,122918,NA,NA,"-"
"SRSF3","P84103","3",NA,1498370,1091080,1342070,364413,857143,NA,1038950,1096540,1130930,NA,NA,1169920,1251420,1608740,1627640,NA,1594120,992107,NA,NA,1248680,1133190,NA,1713010,1468270,1526120,1362280,1529680,1111520,NA,NA,855134,NA,NA,NA,509352,NA,1300300,1126750,NA,965220,1292150,NA,NA,NA,NA,NA,NA,1066550,NA,323504,NA,1455610,NA,NA,1500660,NA,NA,NA,NA,568824,1143070,785411,"-"
"SRSF6","Q13247","1",NA,21020.9,NA,NA,66781.6,68291.1,NA,NA,28281,58862.8,NA,NA,NA,38777.7,NA,68056.9,31970,NA,23757.4,46411.2,66084.1,92950.4,NA,NA,NA,79478.5,NA,NA,47149.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42851.6,NA,NA,NA,NA,NA,NA,34858.6,43181.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-"
"SRSF7","Q16629","3",NA,NA,NA,NA,22527.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36219.7,NA,NA,NA,NA,NA,47466.7,NA,NA,NA,22406.2,NA,NA,NA,32513,NA,NA,NA,NA,109763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22018.9,NA,57945.8,35844.7,27879.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-"
"SSB","P05455","2",159949,157588,131530,NA,51289.5,NA,50765.5,NA,70679.2,129208,120493,133060,50308.2,117244,103275,102671,96297.8,118867,91108.9,NA,NA,186780,87478.4,72708.8,55954.3,104711,117209,187716,103018,96158.1,NA,128162,91203.4,108235,NA,58710.2,54845.2,75953.4,97615.4,94203.2,116147,NA,118784,NA,131035,103147,79041.5,NA,88629,173807,NA,NA,NA,62545.5,NA,NA,74460.1,80766.1,70008.5,82156.2,112427,75223.4,NA,122068,"-"
"SSBP1","Q04837","6",3615940,3369160,4125380,5925100,3495560,4734460,2110880,3421890,3496300,3700440,3568880,3070890,4214450,3681630,5171900,5321260,4886960,4311090,4419570,5595500,3441110,4436990,3850000,3394820,4411520,5005750,5038290,3936900,3197010,3764100,3116960,3244080,3356970,3490660,6329300,1836920,3552670,6226030,4090640,4315520,4219360,4249760,4073640,3251600,3039410,3718990,5339610,2983950,3606570,3173440,4190920,4726200,5124190,5277150,6114430,4531110,2890280,4996940,4936680,4960320,4590090,4264800,4943120,5941560,"-"
"SSPN","Q14714","3",4228330,3392060,3148510,2590360,4240320,2889250,2843970,3796010,3286170,3202310,2181120,2868760,3443090,3665350,2916850,2990680,2726580,2684720,2401890,1740990,2837120,2965380,3030480,2869030,3084830,3406260,2532090,2799980,2896530,2139740,3917030,4048420,2979750,7031130,11107800,3663320,5750720,3996920,4135840,3822570,3603220,2816790,2427290,2722120,3786090,3047240,2981250,3190670,3118630,3638870,3381260,6895920,6717280,5650590,2844170,3611400,3915570,3190850,2705310,2927020,3892940,2729580,2619280,3075690,"-"
"SSR4","P51571","1",NA,15288.7,5787.3,16157.9,NA,11607.8,NA,NA,11160.6,6499.27,8583.22,NA,6284.21,5999.91,8125.85,5743.29,5591.47,17097.8,14446.3,NA,3853.47,16617.9,6232.43,6276.17,8512.6,8900.96,13625.6,10151.4,13584.6,8743.29,NA,NA,11192.2,NA,NA,NA,NA,NA,9048.34,NA,12125.9,NA,NA,NA,NA,NA,NA,9776.79,NA,8812.06,NA,NA,NA,NA,NA,NA,NA,9097.88,NA,NA,7321.17,NA,NA,20439.7,"-"
"SSU72","Q9NP77","2",28620,38378.2,27092.4,36340,NA,23129.1,21203.6,21434.9,46246.9,33383,24011.7,28208.6,36238.7,30532.2,40334.4,24466.5,29004.8,51387.7,32675.8,NA,32851.1,23179,NA,39416,36916.9,32598,28665.2,27568.9,40596.9,29478.2,NA,NA,40191.9,NA,NA,NA,NA,NA,29514.5,NA,44784.8,37900.7,NA,NA,NA,28044.8,30702.4,14995.1,NA,24408.2,13428,NA,NA,NA,NA,17120.6,NA,24444.2,NA,NA,NA,22668.7,NA,18193.4,"-"
"ST13","P50502","10",20400300,20901900,19178300,18742100,25707700,16591100,21560900,23646700,19772400,19373700,20716900,22433700,23031600,23937100,18947500,22463900,17018300,21119600,20518500,17858100,21247900,18013700,18932600,19283200,18385800,19073400,17691800,23691000,23017800,19577800,21977600,31199200,20901100,20187800,25016400,27796000,27136800,21790600,21489100,21445300,21227700,23595000,16782200,15805000,21053200,18127200,18123800,18998600,24790500,17192800,20793800,20267200,28564800,21724800,19146400,22616500,21404300,18913700,21070300,18041500,21409200,17367900,21141600,14506000,"-"
"STAC3","Q96MF2","2",NA,28664800,14108000,34033300,27789400,21793700,20006600,29661300,23293600,32240500,24612200,NA,43149300,24269500,21833800,14618600,26430600,23213400,29010000,37691800,20843400,17698600,NA,23237900,25429900,16613900,46333100,39449600,29038200,33185000,25254400,32049100,22687600,43798300,NA,NA,NA,NA,28223800,34085000,29417000,35653000,NA,NA,35915100,26797400,29755300,16310900,34090200,24816200,34574100,NA,NA,NA,NA,25694300,36031400,NA,23738900,32383800,NA,31330700,29928100,19501200,"-"
"STAT1","P42224","3",7572240,NA,4568430,2262220,818281,NA,NA,NA,NA,NA,NA,3692160,NA,NA,NA,NA,NA,1269720,1278510,NA,NA,1796260,NA,NA,NA,NA,NA,NA,729220,NA,809191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1021960,1424970,NA,143955,NA,146143,NA,NA,NA,531829,NA,NA,946929,NA,NA,NA,"-"
"STAT3","P40763","8",246928,231499,239099,329815,585793,265681,294000,263213,296873,257945,354537,187134,209272,258689,300340,266079,375429,360821,309468,279794,317196,373819,269233,256414,261126,236226,186401,303826,249116,253476,229352,172549,296148,353055,NA,NA,NA,NA,180096,218995,144372,287674,237933,NA,348786,281318,265171,267806,213337,193287,193427,NA,257494,208909,232966,171799,208031,156494,241369,234226,291625,254203,287475,210245,"-"
"STAT5B","P51692","5",573148,598952,589221,611711,643758,562670,731254,897164,568425,637805,650568,507045,635276,600244,417501,619282,555118,597993,533638,526341,496082,562674,522016,692393,496448,540741,468104,645923,600062,475432,367345,662734,480461,712463,NA,NA,423318,464620,565049,502167,506674,303627,620706,375205,611923,529409,586404,472044,467920,436178,428617,NA,499618,NA,458570,484973,675474,474054,500126,566529,466929,520943,490830,590584,"-"
"STAU2","Q9NUL3","4",NA,20211.8,NA,NA,NA,24305.5,NA,NA,NA,NA,NA,NA,NA,NA,23378.4,NA,NA,45013.2,NA,NA,NA,30190.1,NA,NA,18399.5,NA,NA,19823.1,NA,47767.8,NA,NA,21175.5,NA,NA,NA,NA,NA,NA,NA,43094.6,NA,NA,NA,NA,NA,NA,NA,NA,21111.9,NA,NA,NA,29032.8,NA,NA,NA,NA,NA,16182.7,NA,32246.1,NA,NA,"-"
"STBD1","O95210","15",11659500,16486100,16814700,20349800,21018400,17956500,17037500,20088200,13800500,16295600,17817800,11284700,21782300,15754300,14878000,17769700,11630100,16873900,17676800,20584900,16498200,16345600,14245100,20613800,17074000,12487600,19252800,14995500,13938200,13434900,21662700,33372600,21901900,24969300,23538400,28258000,27627200,25027900,25639800,22974300,26420100,14269600,22554000,18003800,22490800,21866800,20866200,22160600,29749000,25631600,21900900,27283200,42328400,17628700,22643700,23270600,20636600,22159400,30895400,24758700,32334400,24462700,22557200,22215400,"-"
"STIM1","Q13586","10",645240,985034,616817,1114660,983569,884765,1187630,995520,879836,1318140,938774,441579,1373330,1101500,1148580,864322,754298,860337,777608,827452,855341,984222,960751,906673,908535,961488,1061110,1507530,1385510,1020050,1062170,1222920,1068700,1116470,NA,NA,644937,839858,1043260,893026,1219900,948254,898871,686256,898563,1080740,1138790,922933,1316720,1130370,1373130,760336,976859,920009,958673,1084060,995019,780485,1063380,979815,1334510,1002170,1196430,1193240,"-"
"STIP1","P31948","30",10787700,11363300,9107970,10754000,13534300,11485800,13235300,13724700,12549400,10788700,11441700,9823440,13123800,13191200,11223000,12545100,9677480,11189900,10100400,10497800,12538800,10363100,12176700,12712000,13124000,11866200,11022400,12709500,13851300,11711500,10798100,12752600,11672300,10482600,10910900,15764600,13155500,13013800,12354900,11270700,12018800,12404900,9882460,8512460,12012100,12387900,8728270,10980000,12416500,13534300,11569600,13185400,19505000,15040600,9997200,13555700,12469300,10951500,10526400,12558500,13200300,8900380,13047800,9425600,"-"
"STK31","Q9BXU1","2",1399380,NA,572562,NA,NA,NA,819240,NA,NA,NA,NA,NA,1234930,NA,NA,NA,NA,465769,NA,NA,NA,366804,619687,NA,NA,NA,2048820,NA,NA,NA,NA,1937800,NA,NA,19650900,NA,NA,NA,NA,NA,NA,NA,NA,NA,548478,NA,2672940,2161760,NA,NA,NA,NA,NA,NA,1519170,NA,NA,2852300,NA,NA,NA,NA,3647910,NA,"-"
"STK38","Q15208","1",119005,118876,124184,113221,NA,91516.2,175515,NA,86491,110281,138238,161933,NA,NA,59841.7,124176,173318,NA,116569,131749,93747.9,130541,147325,136451,97067.4,101903,67605.1,63524.6,NA,58335.4,99067.6,NA,122205,NA,NA,NA,NA,NA,161281,99395,98582.6,NA,94984,NA,81359.5,NA,NA,NA,NA,90262.9,81238.5,NA,NA,NA,NA,169000,88892.7,79666.6,NA,NA,NA,NA,108719,43054,"-"
"STMN1","P16949","3",NA,77620.9,NA,NA,208866,111472,NA,NA,116286,82573.4,NA,NA,NA,NA,90789.3,NA,NA,180326,NA,NA,NA,712707,NA,NA,NA,127611,NA,115497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117613,NA,NA,NA,83322,112340,NA,NA,NA,NA,NA,"-"
"STOM","P27105","6",619764,844427,705810,888869,1132370,1420060,518992,826148,767614,956247,522483,688289,902005,883123,717528,634560,422310,914208,643676,1857040,597676,583356,575896,975690,674050,764531,1241780,2156580,731341,1101360,1100480,529506,665872,1204240,683157,497302,475995,698196,298027,634190,506930,NA,873753,474605,791397,855016,628466,748080,446883,641834,621703,625137,NA,NA,585515,262221,815848,673911,403354,797086,657384,634563,945812,552597,"-"
"STOML2","Q9UJZ1","6",677115,933148,917402,1617060,908746,1343130,792541,809253,756286,839447,914385,776735,963371,919264,1109480,1169450,843342,1383000,874812,1096260,1110770,1364450,1122750,1014290,872853,953928,1108090,820879,1033700,1038610,1041490,918059,891505,921847,922033,539204,619624,800272,996660,920175,738073,930596,652385,731992,792809,1072140,836188,976658,1252830,804337,1390530,647208,845047,1040500,1133410,1158920,813481,734230,756575,709348,904605,942527,919040,851247,"-"
"STRAP","Q9Y3F4","10",3115040,2704380,2608050,3449280,3056660,2849620,2580250,3624960,3142830,3411870,2691510,2858530,2573930,2972590,2821120,3096680,3278540,2976140,3030040,2795530,2938690,3674100,2721280,2982930,3020700,3771060,2591120,2800050,3152230,3460210,2575660,3135710,2845770,3227240,NA,1905540,2190160,2718680,3062770,2807720,3139780,2994360,3681120,2288810,2946800,3740350,2833290,2561220,2695050,3238850,3033030,2198490,2530000,2901440,2730380,2877560,2621120,3130250,4082790,3399480,2984510,2916240,3170790,3432160,"-"
"STRN","O43815","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,324813,NA,NA,396959,NA,NA,NA,NA,NA,NA,NA,NA,373796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,415236,NA,NA,NA,NA,NA,NA,NA,NA,539370,NA,NA,NA,NA,597077,"-"
"STRN3","Q13033","7",NA,873624,530895,795730,705193,597423,487335,623962,703808,752004,613309,393104,797054,709108,616631,790984,535486,885861,575689,604000,581861,627500,441004,615703,674266,731338,773582,759092,732100,781683,448791,569651,828365,565303,NA,NA,NA,NA,674956,911524,887860,624967,667029,NA,699966,619986,817193,667879,478894,944502,737759,NA,NA,494986,438361,559268,718629,794467,912090,743215,835008,733600,603117,940465,"-"
"STT3A","P46977","3",67263,79553.3,77820.9,106451,92721.8,86459.7,106454,70344.4,83112.4,64789,92713.8,64308.7,92675.6,85045,72687.4,59723.9,57051.5,74301.4,92478.5,99128,54789,74305.8,64583.7,80042.6,83866.7,60706.4,98695.8,77264.5,97339.6,71498.1,107556,73041.8,113085,77922.6,NA,NA,NA,NA,93581.2,73550.8,98213.6,59244.9,59518.6,NA,75475.8,91804.8,92923.4,88517.3,99811.8,98376.4,88779.8,NA,NA,NA,77053.3,78932.3,96395.6,84160.4,94982.6,69191.5,76422.5,51288.3,105714,85860.7,"-"
"STUB1","Q9UNE7","10",375249,350056,240879,214692,170649,259982,351424,279523,339951,386262,257135,257212,310816,272160,341207,320961,264574,268765,298437,206957,288376,312164,290561,319851,386159,307667,255734,300159,289355,273430,231383,490762,373364,404995,375815,190221,232404,315664,411138,275007,398661,254906,314102,243483,308544,308055,347742,274973,570047,347885,344794,239643,370024,422777,285329,369982,315236,388046,485139,306002,467293,316210,420697,564755,"-"
"STX4","Q12846","3",NA,34356,27515.1,39281.8,23995.8,38583.9,NA,48468.2,52534.9,45165.5,39846.4,NA,33122.7,27917.8,NA,24152.4,45888,34340.9,36418,34011.2,39174.7,45901.8,19653.5,32931.3,NA,27154.2,NA,35199.1,25170.4,30405.4,NA,NA,35376.3,NA,NA,NA,NA,NA,NA,NA,23917.6,NA,NA,NA,NA,NA,47719.7,36381.3,NA,39442.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28784.8,"-"
"STX7","O15400","3",NA,192689,118560,122942,191228,130739,140623,111360,152344,149164,156722,133924,137908,120426,144331,103062,157581,150408,112718,112696,173575,229298,134918,116710,172597,167821,150014,156924,169844,150582,100244,104576,130262,151020,NA,NA,NA,135824,146375,114893,133902,115718,107967,NA,75432.7,174422,NA,171725,100863,167374,140855,NA,NA,338737,NA,114930,95691,159751,185326,118041,123950,107909,144645,129656,"-"
"STXBP3","O00186","8",340660,421820,330758,245022,377716,319327,297117,468662,246943,389177,351612,254481,462644,343415,303946,238625,477191,507100,339703,NA,352432,359218,371149,NA,250218,373157,261579,475336,462393,405639,NA,354933,367974,329284,NA,295494,263529,328296,408148,310091,347789,NA,NA,NA,321721,NA,361434,248555,NA,312833,279548,NA,401748,311575,325994,NA,274664,257727,246524,288744,241344,167005,255344,579592,"-"
"SUB1","P53999","2",NA,582338,412441,571103,594443,500643,465873,694352,584477,564670,540192,364347,480171,645467,554535,474279,538616,563759,460642,571136,541031,668138,421987,704419,571886,644907,736560,543378,642906,396605,417628,481126,561869,400876,282710,447359,559326,615236,569208,548225,441540,587457,565821,371419,476301,633354,390001,398808,414365,697470,NA,606090,415984,698826,567983,605809,508451,526661,675215,543489,453751,555958,545848,366002,"-"
